Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Yelp URL,Scraped Date,Search Query,Search Location
Bella Vista,(273) 444-8681,info@bellavista.com,"5254 First Avenue, New York, NY",https://bellavista.com,Italian Restaurant,4.2,315,$,East Side,Daily: 10AM-10PM,Professional italian restaurant serving New York and surrounding areas,https://yelp.com/biz/bella-vista,2025-09-10 02:19:29,restaurants,"New York, NY"
Golden Dragon,(482) 801-6709,info@goldendragon.com,"1248 Park Avenue, New York, NY",https://goldendragon.com,Chinese Restaurant,3.9,770,$$$$,Downtown,Mon-Sat: 8AM-8PM,Professional chinese restaurant serving New York and surrounding areas,https://yelp.com/biz/golden-dragon,2025-09-10 02:19:29,restaurants,"New York, NY"
The Local Burger,(520) 841-1299,info@localburger.com,"9020 Main Street, New York, NY",https://localburger.com,American Restaurant,3.9,592,$$$,South District,Tue-Sat: 9AM-7PM,Professional american restaurant serving New York and surrounding areas,https://yelp.com/biz/the-local-burger,2025-09-10 02:19:29,restaurants,"New York, NY"
Sakura Sushi,(746) 740-2650,support@sakurasushi.com,"6963 First Avenue, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.6,15,$$$,East Side,Mon-Sat: 8AM-8PM,Professional japanese restaurant serving New York and surrounding areas,https://yelp.com/biz/sakura-sushi,2025-09-10 02:19:29,restaurants,"New York, NY"
Mediterranean Grill,(272) 390-9657,contact@mediterraneangrill.com,"1270 Pine Street, New York, NY",https://mediterraneangrill.com,Mediterranean Restaurant,4.3,168,$,Downtown,Tue-Sat: 9AM-7PM,Professional mediterranean restaurant serving New York and surrounding areas,https://yelp.com/biz/mediterranean-grill,2025-09-10 02:19:29,restaurants,"New York, NY"
Taco Fiesta,(657) 938-6956,support@tacofiesta.com,"3526 First Avenue, New York, NY",https://tacofiesta.com,Mexican Restaurant,4.0,484,$$$,Central District,Mon-Fri: 9AM-6PM,Professional mexican restaurant serving New York and surrounding areas,https://yelp.com/biz/taco-fiesta,2025-09-10 02:19:29,restaurants,"New York, NY"
Blue Moon Bistro,(462) 919-4164,contact@bluemoonbistro.com,"148 Oak Avenue, New York, NY",https://bluemoonbistro.com,French Restaurant,4.8,606,$$,Midtown,Mon-Fri: 9AM-6PM,Professional french restaurant serving New York and surrounding areas,https://yelp.com/biz/blue-moon-bistro,2025-09-10 02:19:29,restaurants,"New York, NY"
Spice Garden,(449) 525-4238,info@spicegarden.com,"8407 Business Boulevard, New York, NY",https://spicegarden.com,Indian Restaurant,4.6,356,$$$$,North End,Mon-Fri: 9AM-6PM,Professional indian restaurant serving New York and surrounding areas,https://yelp.com/biz/spice-garden,2025-09-10 02:19:29,restaurants,"New York, NY"
Corner Deli,(331) 427-9483,hello@cornerdeli.com,"996 Lincoln Avenue, New York, NY",https://cornerdeli.com,Deli,3.6,263,$,Downtown,Daily: 10AM-10PM,Professional deli serving New York and surrounding areas,https://yelp.com/biz/corner-deli,2025-09-10 02:19:29,restaurants,"New York, NY"
Pizza Corner,(974) 235-9035,support@pizzacorner.com,"5980 Maple Avenue, New York, NY",https://pizzacorner.com,Pizza Restaurant,4.7,602,$$$,East Side,Tue-Sat: 9AM-7PM,Professional pizza restaurant serving New York and surrounding areas,https://yelp.com/biz/pizza-corner,2025-09-10 02:19:29,restaurants,"New York, NY"
Sunrise Cafe,(998) 428-3483,contact@sunrisecafe.com,"8167 Jefferson Drive, New York, NY",https://sunrisecafe.com,Cafe,4.0,249,$,Downtown,Tue-Sat: 9AM-7PM,Professional cafe serving New York and surrounding areas,https://yelp.com/biz/sunrise-cafe,2025-09-10 02:19:29,restaurants,"New York, NY"
Ocean View Seafood,(825) 830-5532,hello@oceanviewseafood.com,"1385 Center Street, New York, NY",https://oceanviewseafood.com,Seafood Restaurant,4.4,708,$$,Uptown,Daily: 10AM-10PM,Professional seafood restaurant serving New York and surrounding areas,https://yelp.com/biz/ocean-view-seafood,2025-09-10 02:19:29,restaurants,"New York, NY"
Mountain Steakhouse,(651) 527-8158,contact@mountainsteakhouse.com,"715 Second Street, New York, NY",https://mountainsteakhouse.com,Steakhouse,3.5,458,$$$,Midtown,Mon-Fri: 9AM-6PM,Professional steakhouse serving New York and surrounding areas,https://yelp.com/biz/mountain-steakhouse,2025-09-10 02:19:29,restaurants,"New York, NY"
Green Garden,(712) 342-2447,office@greengarden.com,"8102 Elm Street, New York, NY",https://greengarden.com,Vegetarian Restaurant,3.8,134,$$$,South District,Mon-Sat: 8AM-8PM,Professional vegetarian restaurant serving New York and surrounding areas,https://yelp.com/biz/green-garden,2025-09-10 02:19:29,restaurants,"New York, NY"
Downtown Diner,(318) 517-6919,contact@downtowndiner.com,"2328 Washington Street, New York, NY",https://downtowndiner.com,American Diner,4.0,792,$,West Side,Mon-Sat: 8AM-8PM,Professional american diner serving New York and surrounding areas,https://yelp.com/biz/downtown-diner,2025-09-10 02:19:29,restaurants,"New York, NY"
Bella Vista New York,(269) 732-5415,hello@bellavista.com,"2270 Broadway, New York, NY",https://bellavista.com,Italian Restaurant,4.8,274,$$,East Side,Daily: 10AM-10PM,Professional italian restaurant serving New York and surrounding areas,https://yelp.com/biz/bella-vista-new-york,2025-09-10 02:19:29,restaurants,"New York, NY"
Golden Dragon #2,(555) 906-1078,hello@goldendragon.com,"1721 Wilson Avenue, New York, NY",https://goldendragon.com,Chinese Restaurant,3.9,582,$,South District,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional chinese restaurant serving New York and surrounding areas,https://yelp.com/biz/golden-dragon-2,2025-09-10 02:19:29,restaurants,"New York, NY"
The Local Burger #2,(434) 640-5986,contact@localburger.com,"8479 Franklin Boulevard, New York, NY",https://localburger.com,American Restaurant,4.5,763,$$$,Central District,Mon-Fri: 9AM-6PM,Professional american restaurant serving New York and surrounding areas,https://yelp.com/biz/the-local-burger-2,2025-09-10 02:19:29,restaurants,"New York, NY"
Sakura Sushi #2,(296) 495-2876,info@sakurasushi.com,"1782 Madison Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,3.5,662,$$,Downtown,Mon-Fri: 9AM-6PM,Professional japanese restaurant serving New York and surrounding areas,https://yelp.com/biz/sakura-sushi-2,2025-09-10 02:19:29,restaurants,"New York, NY"
Mediterranean Grill #2,(332) 491-8427,contact1@mediterraneangrill.com,"5960 Broadway, New York, NY",https://mediterraneangrill.com,Mediterranean Restaurant,4.5,780,$,Uptown,Mon-Sat: 8AM-8PM,Professional mediterranean restaurant serving New York and surrounding areas,https://yelp.com/biz/mediterranean-grill-2,2025-09-10 02:19:29,restaurants,"New York, NY"
Taco Fiesta #2,(660) 447-6448,info@tacofiesta.com,"5007 Park Avenue, New York, NY",https://tacofiesta.com,Mexican Restaurant,4.6,523,$$$$,East Side,Daily: 10AM-10PM,Professional mexican restaurant serving New York and surrounding areas,https://yelp.com/biz/taco-fiesta-2,2025-09-10 02:19:29,restaurants,"New York, NY"
Blue Moon Bistro #2,(807) 447-5421,support@bluemoonbistro.com,"7852 Franklin Boulevard, New York, NY",https://bluemoonbistro.com,French Restaurant,4.0,617,$$,Downtown,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional french restaurant serving New York and surrounding areas,https://yelp.com/biz/blue-moon-bistro-2,2025-09-10 02:19:29,restaurants,"New York, NY"
Spice Garden #2,(600) 937-8713,info1@spicegarden.com,"7188 Wilson Avenue, New York, NY",https://spicegarden.com,Indian Restaurant,4.7,39,$$$$,Uptown,Mon-Fri: 9AM-6PM,Professional indian restaurant serving New York and surrounding areas,https://yelp.com/biz/spice-garden-2,2025-09-10 02:19:29,restaurants,"New York, NY"
Corner Deli #2,(693) 614-2273,hello1@cornerdeli.com,"8604 Broadway, New York, NY",https://cornerdeli.com,Deli,4.7,29,$,East Side,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional deli serving New York and surrounding areas,https://yelp.com/biz/corner-deli-2,2025-09-10 02:19:29,restaurants,"New York, NY"
Pizza Corner #2,(327) 600-4833,info@pizzacorner.com,"9263 Roosevelt Avenue, New York, NY",https://pizzacorner.com,Pizza Restaurant,4.1,135,$$,South District,Mon-Sat: 8AM-8PM,Professional pizza restaurant serving New York and surrounding areas,https://yelp.com/biz/pizza-corner-2,2025-09-10 02:19:29,restaurants,"New York, NY"
